city,updateTime,temp,feelsLike,text,windDir,windScale,humidity,precip,pressure,vis,cloud
changsha,2023-08-12T21:57+08:00,26,29,多云,东南风,2,97,0.0,988,14,40
shenzhen,2023-08-12T21:57+08:00,27,30,多云,南风,2,85,0.0,996,30,98
beijing,2023-08-12T21:57+08:00,26,28,多云,南风,2,80,0.0,999,29,91
beijing,2023-08-12T21:57+08:00,26,28,多云,南风,2,80,0.0,999,29,91
wuhan,2023-08-12T21:57+08:00,30,34,多云,北风,0,81,0.0,998,1,91
changsha,2023-08-12T21:57+08:00,26,29,多云,东南风,2,97,0.0,988,14,40
wuhan,2023-08-12T21:57+08:00,30,34,多云,北风,0,81,0.0,998,1,91
changsha,2023-08-12T21:57+08:00,26,29,多云,东南风,2,97,0.0,988,14,40
shenzhen,2023-08-12T21:57+08:00,27,30,多云,南风,2,85,0.0,996,30,98
wuhan,2023-08-12T21:57+08:00,30,34,多云,北风,0,81,0.0,998,1,91
