date_time,city,high,low,weather
2021-05-01,guangzong,24,8,晴
2021-05-02,guangzong,21,11,阴
2021-05-03,guangzong,22,10,多云
2021-05-04,guangzong,24,7,晴
2021-05-05,guangzong,28,15,晴
2021-05-06,guangzong,34,14,晴
2021-05-07,guangzong,28,18,晴
2021-05-08,guangzong,28,13,晴
2021-05-09,guangzong,27,16,晴
2021-05-10,guangzong,25,13,多云
2021-05-11,guangzong,25,14,晴
2021-05-12,guangzong,28,16,多云
2021-05-13,guangzong,27,20,阴
2021-05-14,guangzong,26,19,多云
2021-05-15,guangzong,25,12,小雨
2021-05-16,guangzong,22,10,阴
2021-05-17,guangzong,28,14,多云
2021-05-18,guangzong,30,18,多云
2021-05-19,guangzong,26,17,阴
2021-05-20,guangzong,21,16,晴
2021-05-21,guangzong,28,20,多云
2021-05-22,guangzong,33,22,阴
2021-05-23,guangzong,27,16,多云
2021-05-24,guangzong,30,13,晴
2021-05-25,guangzong,31,19,多云
2021-05-26,guangzong,31,13,晴
2021-05-27,guangzong,36,17,晴
2021-05-28,guangzong,28,19,多云
2021-05-29,guangzong,29,15,多云
2021-05-30,guangzong,26,16,晴
2021-05-31,guangzong,31,18,小雨
